3.00E+00,5.00E-02,1.00E+02,4.22E+02
3.00E+00,5.00E-02,2.00E+02,4.22E+02
3.00E+00,5.00E-02,3.00E+02,4.94E+02
3.00E+00,5.00E-02,4.00E+02,5.78E+02
3.00E+00,5.00E-02,5.00E+02,5.78E+02
3.00E+00,5.00E-02,6.00E+02,5.78E+02
3.00E+00,5.00E-02,7.00E+02,5.78E+02
3.00E+00,5.00E-02,8.00E+02,5.78E+02
3.00E+00,5.00E-02,9.00E+02,5.78E+02
3.00E+00,6.00E-02,1.00E+02,4.23E+02
3.00E+00,6.00E-02,2.00E+02,4.23E+02
3.00E+00,6.00E-02,3.00E+02,4.49E+02
3.00E+00,6.00E-02,4.00E+02,5.90E+02
3.00E+00,6.00E-02,5.00E+02,5.90E+02
3.00E+00,6.00E-02,6.00E+02,5.90E+02
3.00E+00,6.00E-02,7.00E+02,5.90E+02
3.00E+00,6.00E-02,8.00E+02,5.90E+02
3.00E+00,6.00E-02,9.00E+02,5.90E+02
3.00E+00,7.00E-02,1.00E+02,4.23E+02
3.00E+00,7.00E-02,2.00E+02,4.23E+02
3.00E+00,7.00E-02,3.00E+02,4.50E+02
3.00E+00,7.00E-02,4.00E+02,5.91E+02
3.00E+00,7.00E-02,5.00E+02,5.91E+02
3.00E+00,7.00E-02,6.00E+02,5.91E+02
3.00E+00,7.00E-02,7.00E+02,5.91E+02
3.00E+00,7.00E-02,8.00E+02,5.91E+02
3.00E+00,7.00E-02,9.00E+02,5.91E+02
3.00E+00,8.00E-02,1.00E+02,4.87E+02
3.00E+00,8.00E-02,2.00E+02,4.24E+02
3.00E+00,8.00E-02,3.00E+02,5.81E+02
3.00E+00,8.00E-02,4.00E+02,5.81E+02
3.00E+00,8.00E-02,5.00E+02,5.81E+02
3.00E+00,8.00E-02,6.00E+02,5.81E+02
3.00E+00,8.00E-02,7.00E+02,5.81E+02
3.00E+00,8.00E-02,8.00E+02,5.81E+02
3.00E+00,8.00E-02,9.00E+02,5.81E+02
3.00E+00,9.00E-02,1.00E+02,4.25E+02
3.00E+00,9.00E-02,2.00E+02,4.13E+02
3.00E+00,9.00E-02,3.00E+02,5.82E+02
3.00E+00,9.00E-02,4.00E+02,5.82E+02
3.00E+00,9.00E-02,5.00E+02,5.82E+02
3.00E+00,9.00E-02,6.00E+02,5.82E+02
3.00E+00,9.00E-02,7.00E+02,5.82E+02
3.00E+00,9.00E-02,8.00E+02,5.82E+02
3.00E+00,9.00E-02,9.00E+02,5.82E+02
3.00E+00,1.00E-01,1.00E+02,4.02E+02
3.00E+00,1.00E-01,2.00E+02,4.02E+02
3.00E+00,1.00E-01,3.00E+02,5.83E+02
3.00E+00,1.00E-01,4.00E+02,5.83E+02
3.00E+00,1.00E-01,5.00E+02,5.83E+02
3.00E+00,1.00E-01,6.00E+02,5.83E+02
3.00E+00,1.00E-01,7.00E+02,5.83E+02
3.00E+00,1.00E-01,8.00E+02,5.83E+02
3.00E+00,1.00E-01,9.00E+02,5.83E+02
3.00E+00,1.10E-01,1.00E+02,3.91E+02
3.00E+00,1.10E-01,2.00E+02,3.91E+02
3.00E+00,1.10E-01,3.00E+02,5.72E+02
3.00E+00,1.10E-01,4.00E+02,5.72E+02
3.00E+00,1.10E-01,5.00E+02,5.72E+02
3.00E+00,1.10E-01,6.00E+02,5.72E+02
3.00E+00,1.10E-01,7.00E+02,5.72E+02
3.00E+00,1.10E-01,8.00E+02,5.72E+02
3.00E+00,1.10E-01,9.00E+02,5.72E+02
4.00E+00,5.00E-02,1.00E+02,4.97E+02
4.00E+00,5.00E-02,2.00E+02,6.27E+02
4.00E+00,5.00E-02,3.00E+02,6.16E+02
4.00E+00,5.00E-02,4.00E+02,7.93E+02
4.00E+00,5.00E-02,5.00E+02,7.93E+02
4.00E+00,5.00E-02,6.00E+02,7.93E+02
4.00E+00,5.00E-02,7.00E+02,7.93E+02
4.00E+00,6.00E-02,1.00E+02,5.09E+02
4.00E+00,6.00E-02,2.00E+02,6.65E+02
4.00E+00,6.00E-02,3.00E+02,7.62E+02
4.00E+00,6.00E-02,4.00E+02,7.95E+02
4.00E+00,6.00E-02,5.00E+02,7.95E+02
4.00E+00,6.00E-02,6.00E+02,7.95E+02
4.00E+00,6.00E-02,7.00E+02,7.95E+02
4.00E+00,7.00E-02,1.00E+02,4.99E+02
4.00E+00,7.00E-02,2.00E+02,6.67E+02
4.00E+00,7.00E-02,3.00E+02,6.67E+02
4.00E+00,7.00E-02,4.00E+02,7.28E+02
4.00E+00,7.00E-02,5.00E+02,7.28E+02
4.00E+00,7.00E-02,6.00E+02,7.28E+02
4.00E+00,7.00E-02,7.00E+02,7.28E+02
4.00E+00,8.00E-02,1.00E+02,5.00E+02
4.00E+00,8.00E-02,2.00E+02,6.45E+02
4.00E+00,8.00E-02,3.00E+02,7.02E+02
4.00E+00,8.00E-02,4.00E+02,7.30E+02
4.00E+00,8.00E-02,5.00E+02,7.30E+02
4.00E+00,8.00E-02,6.00E+02,7.30E+02
4.00E+00,8.00E-02,7.00E+02,7.30E+02
4.00E+00,9.00E-02,1.00E+02,4.90E+02
4.00E+00,9.00E-02,2.00E+02,6.11E+02
4.00E+00,9.00E-02,3.00E+02,6.80E+02
4.00E+00,9.00E-02,4.00E+02,7.08E+02
4.00E+00,9.00E-02,5.00E+02,7.08E+02
4.00E+00,9.00E-02,6.00E+02,7.08E+02
4.00E+00,9.00E-02,7.00E+02,7.08E+02
